,Date,log return future,log return brr
297,2019-11-29,0.02269141120207067,0.06677421790069714
298,2019-11-27,0.06782259633876109,0.027132056441528888
299,2019-11-26,-0.00908144557824115,-0.02109331663377612
300,2019-11-25,-0.022689182320445478,0.01779027926763028
301,2019-11-22,-0.034739632293724294,-0.06521977185009586
302,2019-11-21,-0.06789794090564616,-0.06753215270120631
303,2019-11-20,0.0,0.00286090372187944
304,2019-11-19,-0.013406660280115385,-0.03989695203589602
305,2019-11-18,-0.0339217290346675,-0.004884421255408956
306,2019-11-15,-0.022563873099889893,-0.01798071144670762
307,2019-11-14,-0.012507269352394008,-0.013721319447301313
308,2019-11-13,-0.004509590505975038,0.009255686566365806
309,2019-11-12,0.009607307577643645,-0.0072996093782047074
310,2019-11-11,-0.011854499534548481,-0.0038237328511347025
311,2019-11-08,-0.04337764861149611,-0.050917811875681035
312,2019-11-07,-0.014933610859258813,-0.015135972013500766
313,2019-11-06,-0.007383999794639915,-0.0020399507992076137
314,2019-11-05,-0.014088414602781728,0.006408598990366522
315,2019-11-04,0.03425894982101534,0.017417466015720307
316,2019-11-01,-0.005347606326595242,-0.011104922341591678
317,2019-10-31,0.003740319615723177,0.019164863344801834
318,2019-10-30,-0.006935210512242431,-0.030913592552263884
319,2019-10-29,-0.020000666706669543,-0.0029122762049627817
320,2019-10-28,0.08819640782060278,0.20025172800119662
321,2019-10-25,0.15415067982725836,0.025365594963769528
322,2019-10-24,-0.0006637902666566221,0.0011253736839860738
323,2019-10-23,-0.0948878188000674,-0.09518312817103886
324,2019-10-22,-0.0030129579888305944,-0.0026580307498362404
325,2019-10-21,0.03240882842301037,0.040524584638826334
326,2019-10-18,-0.01358045562863068,-0.01657387181461852
327,2019-10-17,0.014202152882102222,0.010441582644319722
328,2019-10-16,-0.03001756768765121,-0.04033841839768375
329,2019-10-15,-0.022083857785436815,0.0019173216952060783
330,2019-10-14,0.0005904930788644295,-0.005570434449853615
331,2019-10-11,-0.02795755763505367,-0.021582840766711103
332,2019-10-10,-0.004012616447291686,0.014757684580457316
333,2019-10-09,0.05527568063184419,0.022603731004792557
334,2019-10-08,-0.00722894714315143,0.004923289350104916
335,2019-10-07,0.00481348703154772,-0.0012891242358853668
336,2019-10-04,0.005443013135641363,0.00233806959000289
337,2019-10-03,-0.01325320603579477,-0.010640677808801015
338,2019-10-02,-0.005371543801910877,-0.015381609121447714
339,2019-10-01,-0.0005950610113109561,0.02546025890240748
340,2019-09-30,0.04888535013909191,0.018184671372624448
341,2019-09-27,-0.017462825332521522,-0.03135305933490386
342,2019-09-26,-0.024857296808755643,-0.018468972902638645
343,2019-09-25,-0.0035863756312275773,-0.12571973558706792
344,2019-09-24,-0.15704454515431793,-0.032810616919091165
345,2019-09-23,-0.03753255147406714,-0.031032923533480007
346,2019-09-20,0.0024588160900287748,0.030790526704344776
347,2019-09-19,-0.004911601229460099,-0.03176356095722212
348,2019-09-18,-0.009751418080614211,-0.0016000066235708204
349,2019-09-17,0.016634434438458915,0.0055984369924543045
350,2019-09-16,-0.01274527056693358,-0.01632184586826339
351,2019-09-13,-0.01402683215598057,-8.053604016402181e-05
352,2019-09-12,0.02775926963427478,0.028757094656588156
353,2019-09-11,0.006440448321009744,-0.01973957758145878
354,2019-09-10,-0.03034985756984284,-0.012167882669931194
355,2019-09-09,-0.008641436395340917,-0.05082901642696202
356,2019-09-06,-0.015651256173703706,0.028804966656376458
357,2019-09-05,-0.019571920177841866,0.013439181786708852
358,2019-09-04,0.003235500858148279,-0.0268215166924109
359,2019-09-03,0.11258821877927944,0.11122706293345802
360,2019-08-30,0.008324709886031633,0.015834284647759968
361,2019-08-29,-0.01812112749466126,-0.07674095565529604
362,2019-08-28,-0.05538956227606595,0.0026473701767872784
363,2019-08-27,-0.01637012964685544,-0.01651429440507723
364,2019-08-26,-0.007611835039629982,-0.0071115209964462515
365,2019-08-23,0.026412099539777276,0.030515394980563458
366,2019-08-22,0.006346128205724074,0.008889496097343404
367,2019-08-21,-0.060336512102263526,-0.06098303318629932
368,2019-08-20,0.0013840832659385552,-0.009035459870396355
369,2019-08-19,0.019110346202418797,0.058463348912155925
370,2019-08-16,0.0369080951991188,0.009893502154230788
371,2019-08-15,-0.0019512201312618048,-0.04517487343948321
372,2019-08-14,-0.07779096161965214,-0.04576304698014096
373,2019-08-13,-0.052689974121701316,-0.03574872371932327
374,2019-08-12,-0.03364488914272424,-0.03285811401524255
375,2019-08-09,0.022162730248704583,0.005160063075513414
376,2019-08-08,-0.018018505502678365,-0.031337290182035
377,2019-08-07,0.005830920310793144,0.027132649327622424
378,2019-08-06,-0.008319515539558389,-0.0039350345776288116
379,2019-08-05,0.12001211306779393,0.11089952790500672
380,2019-08-02,0.01743271473208237,0.051698723509727394
381,2019-08-01,0.03383599724909529,0.0037370993181530705
382,2019-07-31,0.03859160921242904,0.04250458396543892
383,2019-07-30,0.02012971195269262,0.003980451926801491
384,2019-07-29,-0.05032828251082819,-0.024712175478630794
385,2019-07-26,0.001488464675704186,-0.022710447817652253
386,2019-07-25,0.022596994639382046,0.020037722887231407
387,2019-07-24,-0.056283362621846425,-0.01652124720984855
388,2019-07-23,0.0,-0.045033520326696955
389,2019-07-22,-0.027930809746722098,0.0061353077522982085
390,2019-07-19,-0.004192878260035927,0.0612579487160219
391,2019-07-18,0.07528879994376629,0.011604562625655157
392,2019-07-17,0.016170135047502848,-0.08312141769639712
393,2019-07-16,-0.11987514577458853,-0.006851251693065349
394,2019-07-15,-0.07022723511856366,-0.10554442373926187
395,2019-07-12,0.003798274243580003,-0.0026465792636922317
