,Date,log return crix,log return brr
575,2019-06-27,0.07843736121629073,-0.09767557148848527
576,2019-06-26,0.05255733848931686,0.12738701802451172
577,2019-06-25,0.013789318609064505,0.037909475738711576
578,2019-06-24,0.007072107020327175,0.01945287193407512
579,2019-06-23,0.058703724856390894,-0.020109205275823133
580,2019-06-22,0.055650162628315715,0.1074311374670924
581,2019-06-21,0.023056759113821813,0.04691807982191557
582,2019-06-20,0.018050564578640762,0.02565173411282806
583,2019-06-19,-0.02686837399163866,-0.004481122252593126
584,2019-06-18,0.0298233991754014,-0.019929854431967133
585,2019-06-17,0.02131937913465891,0.006104006116294496
586,2019-06-16,0.014085564280693769,0.06580225556493513
587,2019-06-15,0.047654204051582105,0.03230154409406041
588,2019-06-14,0.007595787489102004,0.029596557976189063
589,2019-06-13,0.031221286419772697,0.01936865346150989
590,2019-06-12,-0.01210565297374308,0.026148077219410797
591,2019-06-11,0.04407094142232377,-0.020441158934518158
592,2019-06-10,-0.040315844091801716,0.02671525738326818
593,2019-06-09,-0.017072609408374045,-0.025032312210034477
594,2019-06-08,0.02271357859946225,-0.003000406369020525
595,2019-06-07,0.006975788639283886,0.03573077054306086
596,2019-06-06,0.02023274117328286,-0.006098793637514632
597,2019-06-05,-0.06241697564563532,-0.03027563299460302
598,2019-06-04,-0.06835385930400924,-0.05862269632807236
599,2019-06-03,0.021583606047505578,-0.028808569433779276
600,2019-06-02,-0.009966652657329555,0.021998368049074138
601,2019-06-01,0.03870063223897351,0.011532708544545316
602,2019-05-31,-0.04244725365563657,-0.03605400870966724
603,2019-05-30,-0.008044086900972008,0.0005894150856780311
604,2019-05-29,-0.007406894261797113,0.00387308281228609
605,2019-05-28,0.032943510486516,-0.01285880492511358
606,2019-05-27,0.06790585043920332,0.09551232309231557
607,2019-05-26,0.006280261222777136,-0.0073174583926418554
608,2019-05-25,0.014253877634759236,0.004381302943867932
609,2019-05-24,0.021298499964663938,0.038156934368189004
610,2019-05-23,-0.04148026680661007,-0.019663864836075087
611,2019-05-22,0.0028418312732827883,-0.006538619244871901
612,2019-05-21,-0.028128359085315368,0.020827391353381547
613,2019-05-20,0.11115403274432294,-0.021758359741207087
614,2019-05-19,-0.014260370208246205,0.074931962225523
615,2019-05-18,-0.07173567848010075,0.02123674622251752
616,2019-05-17,-0.025786128873644853,-0.0972890098998076
617,2019-05-16,0.046359030015907784,-0.0032065173791487453
618,2019-05-15,0.051374511689197565,-0.014995022711336917
619,2019-05-14,0.10046656906016566,0.08139509007257775
620,2019-05-13,-0.05440584406066733,0.05052116364430975
621,2019-05-12,0.16453728354798544,0.12531000822053565
622,2019-05-10,0.026940278089902715,0.04020389401723955
623,2019-05-09,0.007835228904832075,0.025911423413632784
624,2019-05-08,0.018052119044388706,0.0006803640038783565
625,2019-05-07,0.00289558015137302,0.034512517018127985
626,2019-05-06,-0.00742127380412715,-0.011396129716458961
627,2019-05-05,0.005912920305239435,0.024961628277253574
628,2019-05-04,0.04528525365061164,-0.031304575767708134
629,2019-05-03,0.014545006426376498,0.06785511854706952
630,2019-05-02,0.005324367863327309,0.01568452178989767
631,2019-05-01,0.029567670560739296,0.005117359547086934
632,2019-04-30,-0.016902309852715198,0.020297061331250445
633,2019-04-29,-0.0061538192621834855,-0.0025641287978516625
634,2019-04-28,0.0002805189062838327,0.00044302359486660375
635,2019-04-27,0.015584651307782495,0.0010725813256862295
636,2019-04-26,-0.04819394135981501,-0.05344185028007986
637,2019-04-25,-0.028296620857682787,-0.002430143767374724
638,2019-04-24,0.013534682240239062,-0.021320898976528935
639,2019-04-23,0.009580729880368009,0.048861087780025875
640,2019-04-22,-0.011483940501836643,0.008391842762128033
641,2019-04-21,0.0017214161282191926,-0.00842197022010741
642,2019-04-20,-0.00011885308007709736,0.012074448927313413
643,2019-04-19,0.01672172650162953,0.00033357255559977774
644,2019-04-18,0.0019188935800906126,0.008467966618019834
645,2019-04-17,0.027833891787952963,0.030922358429488418
646,2019-04-16,-0.021269366859982507,-0.021662389149246033
647,2019-04-15,0.018772430326596146,0.015922127899274916
648,2019-04-14,-0.0033913799122480977,-0.00392973433483505
649,2019-04-13,0.0040487074688821045,0.0035433576561401175
650,2019-04-12,-0.06249790507762608,0.007122620353144708
651,2019-04-11,0.02340431148393973,-0.044700808048808854
652,2019-04-10,-0.020816000838802494,0.01239608736713503
653,2019-04-09,0.01097020656364727,-0.001887461426250296
654,2019-04-08,0.025119464334125485,0.014238704891249723
655,2019-04-07,0.0031361585910357494,0.02383974236797873
656,2019-04-06,0.03459027797593169,0.0032534634141354016
657,2019-04-05,-0.018294542587617767,-0.003606117337777648
658,2019-04-04,0.01507905393732536,-0.00041425928841917135
659,2019-04-03,0.15934681702191145,0.057526857171060264
660,2019-04-02,0.010140810094977451,0.1356566355153316
661,2019-04-01,0.0027158177124274666,0.011655089786821319
662,2019-03-31,-0.0009351736174354855,0.004138703711640476
663,2019-03-30,0.01967069335075708,-0.0010791826729961295
664,2019-03-29,-0.005425487234475071,0.015885331499806983
665,2019-03-28,0.03099375365614857,0.00231396736528759
666,2019-03-27,-0.009326029430903842,0.02387868505897142
667,2019-03-26,-0.00761052275041733,-0.012647012192431261
668,2019-03-25,-0.00474877184967754,-0.0025062922534872436
669,2019-03-24,0.006385026031774527,-3.525507043835921e-05
670,2019-03-23,0.006182436205868045,-0.0044171813966928306
671,2019-03-22,-0.018359861538815376,0.0064892664734185635
672,2019-03-21,0.00824457217395843,-0.009323257209475619
673,2019-03-20,0.00616211512490642,0.006033117597533786
674,2019-03-19,0.0007340884477309693,0.0029268362723671097
675,2019-03-18,-0.008825806622676858,-0.0016458253822527649
676,2019-03-17,0.02275026312550124,-0.0021885534856046275
677,2019-03-16,0.01740184874972988,0.021118103245002684
678,2019-03-15,0.004193104169096756,0.010998508335054946
679,2019-03-14,-0.0033116939911014003,0.0018882313251637123
680,2019-03-13,0.007690839114150135,-0.004034455262894877
681,2019-03-12,-0.016169541559693624,0.006072130832594047
682,2019-03-11,-0.00272210671248315,-0.01407455645815018
683,2019-03-10,0.022953542349454962,-0.008807497738400434
684,2019-03-09,-0.0077515138020965825,0.010025775131970584
685,2019-03-08,0.0018562358611238815,0.004363515823876958
686,2019-03-07,0.004217794304795019,0.006660488678190965
687,2019-03-06,0.04709068680472374,0.00526379438605494
688,2019-03-05,-0.029087224407155905,0.031209600087650294
689,2019-03-04,-0.005538981334829003,-0.022862328122062625
690,2019-03-03,-0.002963570334275457,-0.003336766172625687
691,2019-03-02,0.0031143929101864333,-0.002788750792416873
692,2019-03-01,-7.346292348035848e-05,-0.003862003077036841
693,2019-02-28,0.0006761145666316403,0.008488808416255874
694,2019-02-27,-0.0088804328282315,-0.002822744665635899
695,2019-02-26,0.023923805379054287,0.00678643584566497
696,2019-02-25,-0.10198379335097635,-0.002314721149008166
697,2019-02-24,0.04010433238180252,-0.03405462171888117
698,2019-02-23,0.013303668641988895,-0.0015759963034640678
699,2019-02-22,-0.019958650168440787,0.009370180304224257
700,2019-02-21,0.024874194350781222,-0.005421691542410772
701,2019-02-20,0.007274465087167938,-0.007389722670681082
702,2019-02-19,0.06362512343726638,0.03821805194259059
703,2019-02-18,0.023193999082219332,0.0608096816897591
704,2019-02-17,0.005718048877283759,-0.007273814102275298
705,2019-02-16,0.004139492392086495,0.01205226269606751
706,2019-02-15,-0.007291085992777648,-0.003422713684370422
707,2019-02-14,-0.008219531938088751,-0.00031388727220630724
708,2019-02-13,0.004231832319376193,-0.0012237795587924439
709,2019-02-12,-0.014742267051901126,-0.007455854483923871
710,2019-02-11,0.0060508140592313575,0.0020438503230841235
711,2019-02-10,0.008146558367673964,-0.005089352105643783
712,2019-02-09,0.08008790272657224,0.05363681647238629
713,2019-02-08,0.0006609223868314129,0.017319155156173903
714,2019-02-07,-0.021361096063922794,-0.0003864297801147552
715,2019-02-06,0.0009337150970726184,-0.015842201568097927
716,2019-02-05,0.002067263281057207,0.0028679293682046976
717,2019-02-04,-0.0103795874917215,-0.003262760305266465
718,2019-02-03,0.008228071453026259,-0.0037708139663430967
719,2019-02-02,0.006791447422952422,0.0008451533873508845
720,2019-02-01,0.006197366821155111,0.005294056929966677
